-1 #SUP: 441550
1 #SUP: 59630
-2 #SUP: 49873
2 #SUP: 56482
3 #SUP: 49873
4 #SUP: 49873
5 #SUP: 49873
6 #SUP: 46912
7 #SUP: 36383
8 #SUP: 36383
9 #SUP: 11002
10 #SUP: 9029
11 #SUP: 7523
12 #SUP: 7523
13 #SUP: 6609
14 #SUP: 5967
15 #SUP: 5482
16 #SUP: 3006
3 6  #SUP: 20333
3 7  #SUP: 14851
3 8  #SUP: 14851
3 9  #SUP: 11002
3 10  #SUP: 9029
3 11  #SUP: 7523
3 12  #SUP: 7523
3 13  #SUP: 5048
3 14  #SUP: 5967
3 15  #SUP: 5482
3 16  #SUP: 3006
6 7  #SUP: 14851
6 8  #SUP: 14851
6 15  #SUP: 5482
7 8  #SUP: 14851
10 11  #SUP: 7523
10 12  #SUP: 7523
10 14  #SUP: 1506
11 12  #SUP: 7523
14 16  #SUP: 3006
3 6 7  #SUP: 14851
3 6 8  #SUP: 14851
3 6 15  #SUP: 5482
3 7 8  #SUP: 14851
3 10 11  #SUP: 7523
3 10 12  #SUP: 7523
3 10 14  #SUP: 1506
3 11 12  #SUP: 7523
3 14 16  #SUP: 3006
6 7 8  #SUP: 14851
10 11 12  #SUP: 7523
3 6 7 8  #SUP: 14851
3 10 11 12  #SUP: 7523
